title,project_id,created_by,created_on,updated_by,updated_on,custom_steps_separated_content,custom_steps_separated_expected,case_ids
1.1.3) 아이디 찾기 ,113,76,1703138586,76,1703150934,"- 아이디 찾기 화면로 이동하여 휴대폰 & 아이핀 정보찾기 라디오 버튼 확인
- 위 절차가 정상적으로 완료된 경우 로그인 화면으로 이동","- 아이디 찾기 페이지가 성공적으로 로드되고, 휴대폰 & 아이핀 정보 찾기 라디오 버튼의 활성화
- 로그인 페이지가 성공적으로 로드",
1.1.4) 비밀번호 찾기,113,76,1703138586,76,1703150934,"- 비밀번호 찾기 페이지로 이동하여, 인증 문구 확인
- 위 절차가 정상적으로 완료된 경우 로그인 화면으로 이동","- 비밀번호 찾기 페이지가 성공적으로 로드되고, 인증 문구 노출
- 로그인 페이지가 성공적으로 로드",
"1.2.1) 홈 GNB 
- 홈 상단바 영역의 UI 확인 (문구, 아이콘, 링크)",113,76,1703138586,76,1703150934,"- 홈 상단바 좌측 문구 확인
- 홈상단바 우측 아이콘 노출 및 링크 확인
- 홈상단바 우측 장바구니 아이콘 노출 및 링크 확인
- 홈 UI 영역 확인
-  위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 영역의 GNB 영역이 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
"1.2.2) 메인홈 - Default
- 메인홈 영역의 UI 확인 (문구, 아이콘, 링크)",113,76,1703138586,76,1703150934,"- 홈 > 우측 상단 영역 UI
- 홈 > 광고 영역
- 홈 > 서클플로팅 영역
- 홈 > BNB 배너 영역
- 홈 > 홈쇼핑 영역
-  위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 Default 영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
"1.2.3) 메인홈 - 오늘은
- 메인홈 ""오늘은"" 영역의 UI 확인 (문구, 아이콘, 링크)",113,76,1703138586,76,1703150934,"- 홈 > 기획전 영역
- 홈 > 상단 기획전 영역
- 홈 > 게이트 영역
- 홈 > 슈퍼딜 영역
- 홈 > 상품 영역
- 홈 > 스마일 배송 영역
- 홈 > 아이콘 노출
-  위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""오늘은""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
"1.2.4) 메인홈 - 베스트
- 메인홈 ""베스트"" 영역의 UI 확인 (문구, 아이콘, 링크)",113,76,1703138586,76,1703150934,"- 홈 > 베스트 영역 (스크롤 동작, TOP 버튼 동작. 선택 동작)
- 홈 > 베스트 카테고리 영역 (문구 노출, 임의의 카테고리 선택 동작)
- 홈 > 베스트 ""최고로 잘나가는 오늘의 BEST"" 영역 (문구 / 전체보기 / 상품 노출 / 영역 하단)
- 홈 > 베스트""패션의류 BEST"" 영역 (문구 / 전체보기 / 상품 노출 / 영역 하단)
- 홈 > 베스트""신발/잡화 BEST"" 영역 (문구 / 전체보기 / 상품 노출 / 영역 하단)
- 홈 > 베스트""화장품/헤어 BEST"" 영역  (문구 / 전체보기 / 상품 노출 / 영역 하단)
- 홈 > 베스트""유아동/출산 BEST""영역  (문구 / 전체보기 / 상품 노출 / 영역 하단)
- 홈 > 베스트""식품BEST""영역  (문구 / 전체보기 / 상품 노출 / 영역 하단)
- 홈 > 베스트""생활/주방/건강 BEST"" 영역  (문구 / 전체보기 / 상품 노출 / 영역 하단)
- 홈 > 베스트""가구/침구 BEST"" 영역  (문구 / 전체보기 / 상품 노출 / 영역 하단)
- 홈 > 베스트""스포츠/자동차 BEST"" 영역  (문구 / 전체보기 / 상품 노출 / 영역 하단)
- 홈 > 베스트""컴퓨터/전자 BEST"" 영역  (문구 / 전체보기 / 상품 노출 / 영역 하단)
- 홈 > 베스트""도서/음악 BEST"" 영역  (문구 / 전체보기 / 상품 노출 / 영역 하단)
- 홈 > 베스트""여행 BEST""영역  (문구 / 전체보기 / 상품 노출 / 영역 하단)
- 홈 > 베스트""e쿠폰 BEST"" 영역  (문구 / 전체보기 / 상품 노출 / 영역 하단)
- 홈 > 베스트""실시간 LIVE 랭킹"" 영역  (문구 / 전체보기 / 상품 노출 / 영역 하단)
-  위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""오늘은""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
"1.2.5) 메인홈 - 백화점
- 메인홈 ""백화점"" 영역의 UI 확인 (문구, 아이콘, 링크)",113,76,1703138586,76,1703150934,"- 백화점 > 배너 및 버튼
- 백화점 > 검색 및 카테고리
- 백화점 > 링크 영역
-  위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""백화점""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
"1.2.6) 메인홈 - 패션스퀘어
- 메인홈 ""패션스퀘어"" 영역의 UI 확인 (문구, 아이콘, 링크)",113,76,1703138586,76,1703150934,"- 패션 부티탭 > 페이지 랜딩 및 상단 이미지 기획전
-  위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""백화점""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
"1.2.7) 메인홈 - 선물하기
- 메인홈 ""선물하기"" 영역의 UI 확인 (문구, 아이콘, 링크)",113,76,1703138586,76,1703150934,"- 선물하기 홈 > 배너 및 카테고리 확인
- 선물하기 탭 > 버튼 기능 
- 선물하기 탭 > 상품
- 선물하기 탭 > E 쿠폰
- 선물하기 탭 > 백화점 선물
- 선물하기 탭 > 자주찾는 브랜드
-  위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""선물하기""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
"1.2.8) 메인홈 - 홈&라이프
- 메인홈 ""홈&라이프"" 영역의 UI 확인 (문구, 아이콘, 링크)",113,76,1703138586,76,1703150934,"""- 홈 & 라이프 탭 > 자주차는 카테고리
- 홈 & 라이프 탭 > 가구 침구 브랜드 몰""
-  위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""홈&라이프""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
"1.2.9) 메인홈 - 홈쇼핑
- 메인홈 ""홈쇼핑"" 영역의 UI 확인 (문구, 아이콘, 링크)",113,76,1703138586,76,1703150934,"- 슈퍼딜 > 딜카드 > 구성 요소 확인
- 스크롤 동작 확인
- 버튼 동작 확인
- 실시간 LIVE 랭킹
- 실시간 라이브 랭킹 > 특별 방송
- 실시간 라이브 랭킹 > 이미지
-  위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""홈쇼핑""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
"1.2.10) 메인홈 - 스마일프레시
- 메인홈 ""스마일프레시"" 영역의 UI 확인 (문구, 아이콘, 링크)",113,76,1703138586,76,1703150934,"- 배송지 및 도착 보장일
- 도착 보장일 링크
- 배송 시간 표 노출
- 클럽 넛징 노출 (회원별)
- 비로그인, 클럽X/O_스마일프레시 홈 스마일클럽 넛징 영역 삭제 확인                         
- 자주구매 버튼 노출 및 이동 확인                        
- 장본내역 버튼 노출 및 이동 확인                        
- 관심상품 버튼 노출 및 이동 확인                        
- 스마일프레시 검색창 노출 확인                        
- 카테고리 노출 및 이동 확인                        
- 와이드 배너(기획전) 노출 및 동작 확인                        
- 자주 구매 영역 노출 확인                        
- 스마일프레시 추천 서비스 노출 및 이동 확인                        
- 쿠폰 다운로드 슬롯 노출 및 이동 확인                        
- [비로그인] 스마일프레시 배송지 영역 노출 확인                        
- [비로그인] 스마일프레시 배송지 영역 하단 문구 노출 확인                        
- '스마일프레시 추천 서비스' 문구 노출 확인                        
- '다양한 혜택받고 스마일프레시에서 장보세요' 문구 노출 확인                        
- '지금 잘 나가는 신선식품 베스트는? 전체보기 >' 문구 노출 확인                        
- '하나 더' 인기 상품 전체보기 > 문구 노출 확인                        
- '잘 나가는 전단 인기 상품 전체보기 >' 문구 노출 확인                        
- '잘 나가는 전단 인기 상품 하단에 '전체보기 >' 버튼 노출 확인                        
- '믿고 장보는 공식 브랜드 전체보기 >' 문구 노출 확인                        
- '믿고 장보는 공식 브랜드 하단에 '브랜드명 새로보기 1/5' 버튼 노출 확인                        
- '멈출 수 없는 단짠단짠! 더보기 >' 문구 노출 확인                        
- '우리 집 장보기 필수템' 문구 노출 확인                        
- '따끈한~국물 어때요? 더보기 >' 문구 노출 확인                        
- '득템! 더 리미티드 오직 스마일프레시에서 ->' 문구 및 이미지 노출 확인                        
- '스마일프레시 BEST 전체보기 >' 문구 노출 확인                        
- '스마일프레시 BEST 하단에 'ALL 전체보기 >' 버튼 노출 확인                        
- '스마일프레시 알아보기' 문구 및 이미지 노출 확인                        
- [로그인] 하단 '로그아웃' 버튼 노출 확인                        
- [비로그인] 하단 '로그인' 버튼 노출 확인                        
- 하단 '고객센터' 버튼 노출 확인                        
- 하단 '앱설정' 버튼 노출 확인                        
- 하단 '주식회사 지마켓 ∨' 버튼 노출 확인                        
- 하단 '주식회사 지마켓 ∨' 버튼 클릭 시 상세 내용 노출 확인                        
- 하단 문구 확인
-  위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""스마일 프레시""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
"1.2.11) 메인홈 - 슈퍼딜
- 메인홈 ""슈퍼딜"" 영역의 UI 확인 (문구, 아이콘, 링크)",113,76,1703138586,76,1703150934,"- 슈퍼딜 영역 > 카테고리
- 슈퍼딜 영역 > 상품 정보
- 슈퍼딜 영역 > 관심 상품 등록
- 슈퍼딜 영역 > 광고배너
- 슈퍼딜 영역 > 홈쇼핑 딜카드
- 슈퍼딜 영역 > 딜카드
-  위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""스마일 프레시""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
"1.2.12) 메인홈 - 여행
- 메인홈 ""여행"" 영역의 UI 확인 (문구, 아이콘, 링크)",113,76,1703138586,76,1703150934,"- 버티컬 VIP                        
- 여행상품 > 상세정보                                        
- 항공/여행 > 국내호텔 SRP                        
- 항공/여행 > 해외호텔 SRP                        
- 여행상품 > 버티컬 VIP > 관심상품/공유하기                         
- 여행 탭 UI                        
- 여행 프로모션, 공유하기, 텍스트 확인                        
- 여행/항공                        
- 여행 > 항공권 탭)                        
- 여행 > 숙박 탭)                        
- 여행 > 패키지 탭)                        
- 여행 > 항공권 출발지)                        
- 여행 > 해외 항공권 도착지)                        
- 여행 > 국내 항공권 출발지)                        
- 여행 > 국내 항공권 도착지)                        
- 여행 > 국내 호텔)                        
- 여행 > 해외 호텔)                        
- 여행 > 해외 패키지)                        
- 핫딜                        
- 핫딜 전체 보기
-  위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""스마일 프레시""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
1.2.13) 스마일 배송Corner 홈 - Default,113,76,1703138586,76,1703150934,"- 비로그인 > 스마일배송 > 배송지 영역 확인                        
- 로그인 > 스마일배송 > 배송지 영역 확인                         
- 스마일배송 > 배송지 설정 확인                        
- 스마일배송                        
- 스마일배송 이미지 텍스트                        
- 스마일배송 이용 안내 자세히 보기                        
- 스마일배송 상품 정보 확인 (2)                        
- 스마일배송 (코너홈)                        
- 스마일배송 (베스트100)                        
- 스마일배송 > 하단 네비게이션 바 확인
-  위 절차가 정상적으로 완료된 경우 메인화면으로 이동","- 메인홈 ""스마일 프레시""영역의 Ui가 정상적으로 노출
- 메인 페이지가 성공적으로 로드",
